round_id,source,timestamp,multiplier,color,band,points,session_id
284,aviator,2026-07-24T14:47:02.470+00:00,1.35,"rgb(52, 180, 255)",floor,112.989,1
285,aviator,2026-07-24T14:47:51.021+00:00,23.05,"rgb(192, 23, 180)",moonshot,235.801,1
286,aviator,2026-07-24T14:48:54.731+00:00,59.9,"rgb(192, 23, 180)",mega,277.135,1
287,aviator,2026-07-24T14:49:12.049+00:00,1.45,"rgb(52, 180, 255)",floor,116.082,1
288,aviator,2026-07-24T14:49:35.292+00:00,2.23,"rgb(145, 62, 248)",base,134.711,1
289,aviator,2026-07-24T14:49:48.399+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
290,aviator,2026-07-24T14:50:22.612+00:00,5.82,"rgb(145, 62, 248)",high,176.231,1
291,aviator,2026-07-24T14:50:36.676+00:00,1.12,"rgb(52, 180, 255)",dust,104.905,1
292,aviator,2026-07-24T14:50:55.027+00:00,1.59,"rgb(52, 180, 255)",low,120.071,1
293,aviator,2026-07-24T14:51:08.101+00:00,1.06,"rgb(52, 180, 255)",dust,102.522,1
294,aviator,2026-07-24T14:51:24.176+00:00,1.31,"rgb(52, 180, 255)",floor,111.687,1
295,aviator,2026-07-24T14:51:53.687+00:00,3.86,"rgb(145, 62, 248)",mid,158.458,1
296,aviator,2026-07-24T14:52:11.857+00:00,1.6,"rgb(52, 180, 255)",low,120.342,1
297,aviator,2026-07-24T14:52:28.001+00:00,1.36,"rgb(52, 180, 255)",floor,113.308,1
298,aviator,2026-07-24T14:53:01.313+00:00,5.79,"rgb(145, 62, 248)",high,176.007,1
299,aviator,2026-07-24T14:53:15.377+00:00,1.22,"rgb(52, 180, 255)",floor,108.606,1
301,aviator,2026-07-24T14:53:37.573+00:00,2.06,"rgb(145, 62, 248)",base,131.279,1
302,aviator,2026-07-24T14:53:54.831+00:00,1.63,"rgb(52, 180, 255)",low,121.146,1
303,aviator,2026-07-24T14:54:26.176+00:00,5.04,"rgb(145, 62, 248)",high,170.003,1
304,aviator,2026-07-24T14:54:43.437+00:00,1.38,"rgb(52, 180, 255)",floor,113.94,1
305,aviator,2026-07-24T14:55:01.689+00:00,1.67,"rgb(52, 180, 255)",low,122.195,1
306,aviator,2026-07-24T14:55:25.895+00:00,2.62,"rgb(145, 62, 248)",base,141.687,1
307,aviator,2026-07-24T14:55:46.185+00:00,1.97,"rgb(52, 180, 255)",low,129.346,1
308,aviator,2026-07-24T14:56:06.211+00:00,1.73,"rgb(52, 180, 255)",low,123.723,1
309,aviator,2026-07-24T14:56:29.330+00:00,2.59,"rgb(145, 62, 248)",base,141.189,1
310,aviator,2026-07-24T14:57:08.593+00:00,10.04,"rgb(192, 23, 180)",ignition,199.831,1
311,aviator,2026-07-24T14:57:36.731+00:00,3.77,"rgb(145, 62, 248)",mid,157.437,1
312,aviator,2026-07-24T14:58:16.044+00:00,10.0,"rgb(192, 23, 180)",ignition,199.658,1
313,aviator,2026-07-24T14:58:34.124+00:00,1.41,"rgb(52, 180, 255)",floor,114.871,1
314,aviator,2026-07-24T14:58:55.315+00:00,2.15,"rgb(145, 62, 248)",base,133.13,1
315,aviator,2026-07-24T14:59:20.667+00:00,2.76,"rgb(145, 62, 248)",base,143.94,1
316,aviator,2026-07-24T14:59:34.813+00:00,1.06,"rgb(52, 180, 255)",dust,102.522,1
317,aviator,2026-07-24T15:00:05.292+00:00,4.55,"rgb(145, 62, 248)",mid,165.576,1
